train/loss,train/acc,train/precision,train/recall,epoch,step,val/loss,val/acc,val/precision,val/recall
0.8857460618019104,0.36988121271133423,0.362552285194397,0.9825788736343384,0,1599,,,,
0.8784431219100952,0.46142131090164185,0.38261935114860535,0.801071047782898,1,3199,,,,
0.8755724430084229,0.5080769062042236,0.3960617482662201,0.6902860403060913,2,4799,,,,
0.8664333820343018,0.5883989334106445,0.4413660168647766,0.5264101624488831,3,6399,,,,
,,,,4,7999,0.8363091945648193,0.6217824220657349,0.4581560492515564,0.6028998494148254
0.8641034960746765,0.6217824220657349,0.4581560492515564,0.6028998494148254,4,7999,,,,
0.8633026480674744,0.5919835567474365,0.44528403878211975,0.5287182331085205,5,9599,,,,
0.8626118302345276,0.5952402949333191,0.4484114646911621,0.5255123972892761,6,11199,,,,
0.8631913065910339,0.594687819480896,0.44814279675483704,0.5290877223014832,7,12799,,,,
0.8615677356719971,0.5963161587715149,0.4504029154777527,0.5355123281478882,8,14399,,,,
,,,,9,15999,0.8326302766799927,0.6516115069389343,0.48779723048210144,0.4511933922767639
0.8631817102432251,0.6516115069389343,0.48779723048210144,0.4511933922767639,9,15999,,,,
0.8612149357795715,0.5954216122627258,0.4494761526584625,0.5356268286705017,10,17599,,,,
0.8628742694854736,0.5932351350784302,0.44615522027015686,0.5239641666412354,11,19199,,,,
0.8608223795890808,0.5859277844429016,0.44137075543403625,0.5522179007530212,12,20799,,,,
0.8617847561836243,0.599921464920044,0.4522671699523926,0.5114297866821289,13,22399,,,,
,,,,14,23999,0.8314331769943237,0.6260383129119873,0.460076242685318,0.5625697374343872
0.8612619042396545,0.6260383129119873,0.460076242685318,0.5625697374343872,14,23999,,,,
0.8607214093208313,0.5920079946517944,0.44692710041999817,0.5468133091926575,15,25599,,,,
0.8619583249092102,0.5879770517349243,0.4424603581428528,0.542244017124176,16,27199,,,,
0.8617173433303833,0.5811563730239868,0.4383726418018341,0.5687803626060486,17,28799,,,,
0.8624745607376099,0.5971336364746094,0.44997119903564453,0.5202015042304993,18,30399,,,,
,,,,19,31999,0.8338955044746399,0.6615976095199585,0.5040080547332764,0.4235556423664093
0.8610041737556458,0.6615976095199585,0.5040080547332764,0.4235556423664093,19,31999,,,,
