val/epoch_NLL,epoch,step
4124.5771484375,4,7999
4520.77197265625,9,15999
4487.994140625,14,23999
4529.6865234375,19,31999
4695.14794921875,24,39999
4227.30712890625,29,47999
4910.33837890625,34,55999
5004.7412109375,39,63999
4360.67041015625,44,71999
4688.72265625,49,79999
