val/epoch_NLL,epoch,step
19479.970703125,4,7999
17841.064453125,9,15999
19509.306640625,14,23999
18693.390625,19,31999
19142.6015625,24,39999
19044.65234375,29,47999
18586.837890625,34,55999
20020.20703125,39,63999
19165.8515625,44,71999
19027.994140625,49,79999
