val/epoch_NLL,epoch,step
4937.70361328125,4,7999
5153.2060546875,9,15999
5016.4560546875,14,23999
5097.67578125,19,31999
4871.07763671875,24,39999
4935.48681640625,29,47999
5128.30322265625,34,55999
5033.73388671875,39,63999
