train/loss,train/acc,train/precision,train/recall,epoch,step,val/loss,val/acc,val/precision,val/recall
0.6525574922561646,0.6390037536621094,0.5597765445709229,0.0013036588206887245,0,1599,,,,
0.649061918258667,0.6399245858192444,0.5324884653091431,0.02317962609231472,1,3199,,,,
0.646500825881958,0.6406161785125732,0.521645188331604,0.0571606270968914,2,4799,,,,
0.6403952836990356,0.6453856229782104,0.525083065032959,0.18790121376514435,3,6399,,,,
,,,,4,7999,0.6095238924026489,0.6732480525970459,0.5615152716636658,0.18681685626506805
0.6380031108856201,0.6732480525970459,0.5615152716636658,0.18681685626506805,4,7999,,,,
0.6379259824752808,0.6489543318748474,0.5384107232093811,0.19508305191993713,5,9599,,,,
0.6371445655822754,0.6482627391815186,0.5350214242935181,0.19798700511455536,6,11199,,,,
0.6366933584213257,0.64984130859375,0.5430278182029724,0.1911434531211853,7,12799,,,,
0.6365486979484558,0.6503167152404785,0.5463353395462036,0.18634255230426788,8,14399,,,,
,,,,9,15999,0.6140010952949524,0.6716293096542358,0.5590419173240662,0.1712915450334549
0.6363850235939026,0.6716293096542358,0.5590419173240662,0.1712915450334549,9,15999,,,,
0.6369848847389221,0.6482768654823303,0.533820629119873,0.20486439764499664,10,17599,,,,
0.6368036866188049,0.6502575278282166,0.5418809652328491,0.2034202218055725,11,19199,,,,
0.6367180347442627,0.6506296396255493,0.5477086305618286,0.18640759587287903,12,20799,,,,
0.6365741491317749,0.6513400077819824,0.5513596534729004,0.18486975133419037,13,22399,,,,
,,,,14,23999,0.6130877733230591,0.6784310936927795,0.5519332885742188,0.2983493208885193
0.6364110708236694,0.6784310936927795,0.5519332885742188,0.2983493208885193,14,23999,,,,
0.6361178159713745,0.6503928303718567,0.5443416237831116,0.19530422985553741,15,25599,,,,
0.6361897587776184,0.649233341217041,0.5377090573310852,0.20396405458450317,16,27199,,,,
0.636436402797699,0.6515081524848938,0.548171877861023,0.19861412048339844,17,28799,,,,
0.6361440420150757,0.6515964865684509,0.5524535775184631,0.18511435389518738,18,30399,,,,
,,,,19,31999,0.6107631921768188,0.6762195825576782,0.5551099181175232,0.25007808208465576
0.6356123089790344,0.6762195825576782,0.5551099181175232,0.25007808208465576,19,31999,,,,
