val/epoch_NLL,epoch,step
4537.4892578125,4,7999
4977.70458984375,9,15999
4567.95361328125,14,23999
4879.60888671875,19,31999
5312.330078125,24,39999
4925.0908203125,29,47999
4629.18798828125,34,55999
